,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_criterion,param_max_depth,param_max_features,param_min_samples_split,param_splitter,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
18,0.06950815518697102,0.003651537752401188,0.031662543614705406,0.002077567827524994,,entropy,6,sqrt,0.005,random,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_split': 0.005, 'splitter': 'random'}",0.6601123595505618,0.6428571428571429,0.6053921568627451,0.63612055309015,0.022841648755661265,56
71,0.05910992622375488,0.0080149454339082,0.02227330207824707,0.0023501082810299763,,gini,9,sqrt,0.05,best,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_split': 0.05, 'splitter': 'best'}",0.6473551637279596,0.6394366197183099,0.6190476190476191,0.6352798008312962,0.011924446287688299,57
144,0.09094564119974773,0.003302855699107854,0.02261527379353841,0.001251166281406632,"{0: 1, 1: 2}",entropy,3,,0.005,random,"{'class_weight': {0: 1, 1: 2}, 'criterion': 'entropy', 'max_depth': 3, 'max_features': None, 'min_samples_split': 0.005, 'splitter': 'random'}",0.6435897435897436,0.6347607052896725,0.6253041362530414,0.6345515283774859,0.007466533115775525,58
146,0.08804742495218913,0.0026266499176224906,0.022239208221435547,0.001282211941263167,"{0: 1, 1: 2}",entropy,3,,0.01,random,"{'class_weight': {0: 1, 1: 2}, 'criterion': 'entropy', 'max_depth': 3, 'max_features': None, 'min_samples_split': 0.01, 'splitter': 'random'}",0.6435897435897436,0.6347607052896725,0.6253041362530414,0.6345515283774859,0.007466533115775525,58
180,0.0774683952331543,0.003011955438326488,0.017419815063476562,0.0028777680514091982,"{0: 1, 1: 2}",gini,3,,0.005,random,"{'class_weight': {0: 1, 1: 2}, 'criterion': 'gini', 'max_depth': 3, 'max_features': None, 'min_samples_split': 0.005, 'splitter': 'random'}",0.6435897435897436,0.6347607052896725,0.6253041362530414,0.6345515283774859,0.007466533115775525,58
182,0.07541712125142415,0.004850032082197097,0.020964304606119793,0.002943744495102571,"{0: 1, 1: 2}",gini,3,,0.01,random,"{'class_weight': {0: 1, 1: 2}, 'criterion': 'gini', 'max_depth': 3, 'max_features': None, 'min_samples_split': 0.01, 'splitter': 'random'}",0.6435897435897436,0.6347607052896725,0.6253041362530414,0.6345515283774859,0.007466533115775525,58
48,0.10550816853841145,0.003998594149100543,0.021614472071329754,0.0012465392247186793,,gini,6,,0.005,random,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 6, 'max_features': None, 'min_samples_split': 0.005, 'splitter': 'random'}",0.646112600536193,0.6335227272727273,0.6221662468513854,0.633933858220102,0.009780379515178716,62
16,0.11626021067301433,0.0017212394069296025,0.02535859743754069,0.004051029623644683,,entropy,6,,0.05,random,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 6, 'max_features': None, 'min_samples_split': 0.05, 'splitter': 'random'}",0.6397058823529411,0.6347607052896725,0.6271186440677966,0.63386174390347,0.005177885063238611,63
22,0.060051679611206055,0.00260363138008388,0.020996252695719402,0.0006640588567534874,,entropy,6,sqrt,0.05,random,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_split': 0.05, 'splitter': 'random'}",0.6396396396396397,0.6343042071197411,0.6276276276276276,0.6338571581290028,0.004914061303665276,64
190,0.04262725512186686,0.0046696932951255845,0.016455570856730144,0.0021802333662234693,"{0: 1, 1: 2}",gini,3,sqrt,0.05,random,"{'class_weight': {0: 1, 1: 2}, 'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_split': 0.05, 'splitter': 'random'}",0.6396396396396397,0.6343042071197411,0.6276276276276276,0.6338571581290028,0.004914061303665276,64
